Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/31/2005,16237995,0,41,41000000
12/28/2005,12056489,0,30,30000000
12/24/2005,15923761,0,25,25000000
12/21/2005,12146846,0,20,20000000
12/17/2005,13220611,0,15,15000000
12/14/2005,21453727,0,112,112000000
12/10/2005,20698844,0,100,100000000
12/07/2005,16651726,0,87,87000000
12/03/2005,17092457,0,75,75000000
11/30/2005,14769688,0,66,66000000
11/26/2005,14276944,0,57,57000000
11/23/2005,14277178,0,47,47000000
11/19/2005,14362530,0,40,40000000
11/16/2005,12695626,0,31,31000000
11/12/2005,13766232,0,25,25000000
11/09/2005,12588482,0,20,20000000
11/05/2005,13639702,0,15,15000000
11/02/2005,14135903,0,36,36000000
10/29/2005,14695200,0,27,27000000
10/26/2005,13491525,0,20,20000000
10/22/2005,15670623,0,15,15000000
10/19/2005,165702055,0,340,340000000
10/15/2005,93711624,0,300,300000000
10/12/2005,63285429,0,240,240000000
10/08/2005,50064288,0,205,205000000
10/05/2005,36688866,0,180,180000000
10/01/2005,33384475,0,167,167000000
09/28/2005,27917824,0,148,148000000
09/24/2005,25826780,0,126,126000000
09/21/2005,21843529,0,108,108000000
09/17/2005,19369471,0,92,92000000
09/14/2005,15733224,0,80,80000000
09/10/2005,15751153,0,70,70000000
09/07/2005,12903742,0,60,60000000
09/03/2005,14073885,0,53,53000000
08/31/2005,11661808,0,44,44000000
08/27/2005,13194206,0,32,32000000
08/24/2005,11362334,0,25,25000000
08/20/2005,12228118,0,19,19000000
08/17/2005,10452591,0,13,13000000
08/13/2005,12118475,0,10,10000000
08/10/2005,20046296,0,92,92000000
08/06/2005,19410200,0,82,82000000
08/03/2005,16214682,0,70,70000000
07/30/2005,16274295,0,62,62000000
07/27/2005,13218975,0,53,53000000
07/23/2005,14155392,0,46,46000000
07/20/2005,12028493,0,38,38000000
07/16/2005,13179163,0,31,31000000
07/13/2005,11293239,0,23,23000000
07/09/2005,12084933,0,18,18000000
07/06/2005,10092153,0,13,13000000
07/02/2005,11841643,0,10,10000000
06/29/2005,10383472,0,10,10000000
06/25/2005,16869943,0,62,62000000
06/22/2005,14518940,0,52,52000000
06/18/2005,15197084,0,43,43000000
06/15/2005,12757562,0,34,34000000
06/11/2005,13679770,0,28,28000000
06/08/2005,11734970,0,20,20000000
06/04/2005,12711301,0,13,13000000
06/01/2005,11421109,0,10,10000000
05/28/2005,68244767,0,220,220000000
05/25/2005,50606867,0,180,180000000
05/21/2005,40387916,0,155,155000000
05/18/2005,32778247,0,129,129000000
05/14/2005,29487024,0,111,111000000
05/11/2005,21747095,0,96,96000000
05/07/2005,19960545,0,83,83000000
05/04/2005,16782647,0,72,72000000
04/30/2005,16495834,0,63,63000000
04/27/2005,13703921,0,54,54000000
04/23/2005,14073610,0,47,47000000
04/20/2005,11534775,0,39,39000000
04/16/2005,12481646,0,32,32000000
04/13/2005,10607067,0,25,25000000
04/09/2005,11338636,0,19,19000000
04/06/2005,9639616,0,12,12000000
04/02/2005,10939736,0,10,10000000
03/30/2005,10739292,0,25,25000000
03/26/2005,11844326,0,19,19000000
03/23/2005,9684876,0,12,12000000
03/19/2005,10925963,0,10,10000000
03/16/2005,10581612,0,18,18000000
03/12/2005,11339686,0,12,12000000
03/09/2005,11253878,0,10,10000000
03/05/2005,12362291,0,19,19000000
03/02/2005,10109910,0,12,12000000
02/26/2005,11252184,0,10,10000000
02/23/2005,10614026,0,18,18000000
02/19/2005,11726815,0,12,12000000
02/16/2005,10096589,0,10,10000000
02/12/2005,14431387,0,41,41000000
02/09/2005,12082713,0,32,32000000
02/05/2005,13141349,0,25,25000000
02/02/2005,10905341,0,18,18000000
01/29/2005,11445462,0,12,12000000
01/26/2005,9888417,0,10,10000000
01/22/2005,12760524,0,26,26000000
01/19/2005,10788815,0,19,19000000
01/15/2005,11981740,0,14,14000000
01/12/2005,10449723,0,10,10000000
01/08/2005,13947785,0,37,37000000
01/05/2005,12233136,0,28,28000000
01/01/2005,13249138,0,21,21000000
