Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/29/1999,7057116.00,0.00,19.00,19000000
12/25/1999,6838956.00,0.00,16.00,16000000
12/22/1999,6705382.00,0.00,14.00,14000000
12/18/1999,7228949.00,0.00,12.00,12000000
12/15/1999,6570626.00,0.00,10.00,10000000
12/11/1999,11142915.00,0.00,48.00,48000000
12/08/1999,9571667.00,0.00,42.00,42000000
12/04/1999,9559328.00,0.00,37.00,37000000
12/01/1999,8258573.00,0.00,32.00,32000000
11/27/1999,7966471.00,0.00,27.00,27000000
11/24/1999,7580900.00,0.00,23.00,23000000
11/20/1999,7864316.00,0.00,19.00,19000000
11/17/1999,6724712.00,0.00,16.00,16000000
11/13/1999,7528591.00,0.00,14.00,14000000
11/10/1999,6496770.00,0.00,12.00,12000000
11/06/1999,7262748.00,0.00,10.00,10000000
11/03/1999,6631815.00,0.00,10.00,10000000
10/30/1999,14177548.00,0.00,61.00,61000000
10/27/1999,11463916.00,0.00,53.00,53000000
10/23/1999,10976254.00,0.00,46.00,46000000
10/20/1999,9173932.00,0.00,40.00,40000000
10/16/1999,9232452.00,0.00,34.00,34000000
10/13/1999,7728665.00,0.00,29.00,29000000
10/09/1999,8404123.00,0.00,25.00,25000000
10/06/1999,7033357.00,0.00,19.00,19000000
10/02/1999,7794517.00,0.00,16.00,16000000
09/29/1999,6546234.00,0.00,14.00,14000000
09/25/1999,7286141.00,0.00,12.00,12000000
09/22/1999,6411063.00,0.00,10.00,10000000
09/18/1999,10374333.00,0.00,41.00,41000000
09/15/1999,8675114.00,0.00,36.00,36000000
09/11/1999,9199393.00,0.00,31.00,31000000
09/08/1999,7558521.00,0.00,25.00,25000000
09/04/1999,8558281.00,0.00,21.00,21000000
09/01/1999,7038882.00,0.00,16.00,16000000
08/28/1999,7711916.00,0.00,14.00,14000000
08/25/1999,6730374.00,0.00,12.00,12000000
08/21/1999,7656491.00,0.00,10.00,10000000
08/18/1999,8709488.00,0.00,32.00,32000000
08/14/1999,9132088.00,0.00,27.00,27000000
08/11/1999,7793571.00,0.00,21.00,21000000
08/07/1999,8304029.00,0.00,17.00,17000000
08/04/1999,7239467.00,0.00,14.00,14000000
07/31/1999,7909455.00,0.00,12.00,12000000
07/28/1999,6957291.00,0.00,10.00,10000000
07/24/1999,10049501.00,0.00,34.00,34000000
07/21/1999,8658223.00,0.00,27.00,27000000
07/17/1999,9302002.00,0.00,23.00,23000000
07/14/1999,8038837.00,0.00,18.00,18000000
07/10/1999,8504270.00,0.00,14.00,14000000
07/07/1999,7259169.00,0.00,12.00,12000000
07/03/1999,8822458.00,0.00,10.00,10000000
06/30/1999,69797117.00,0.00,145.00,145000000
06/26/1999,39028119.00,0.00,100.00,100000000
06/23/1999,23185915.00,0.00,88.00,88000000
06/19/1999,18460078.00,0.00,77.00,77000000
06/16/1999,14508839.00,0.00,67.00,67000000
06/12/1999,12952631.00,0.00,58.00,58000000
06/09/1999,10935748.00,0.00,50.00,50000000
06/05/1999,10769114.00,0.00,45.00,45000000
06/02/1999,8445202.00,0.00,39.00,39000000
05/29/1999,9330645.00,0.00,34.00,34000000
05/26/1999,7784487.00,0.00,29.00,29000000
05/22/1999,8497797.00,0.00,25.00,25000000
05/19/1999,7359468.00,0.00,21.00,21000000
05/15/1999,7955354.00,0.00,17.00,17000000
05/12/1999,6768893.00,0.00,14.00,14000000
05/08/1999,7643960.00,0.00,12.00,12000000
05/05/1999,6774362.00,0.00,10.00,10000000
05/01/1999,11593486.00,0.00,47.00,47000000
04/28/1999,9901613.00,0.00,41.00,41000000
04/24/1999,9897769.00,0.00,36.00,36000000
04/21/1999,8564553.00,0.00,30.00,30000000
04/17/1999,9148038.00,0.00,25.00,25000000
04/14/1999,7622055.00,0.00,20.00,20000000
04/10/1999,8226441.00,0.00,17.00,17000000
04/07/1999,7177646.00,0.00,14.00,14000000
04/03/1999,8360740.00,0.00,12.00,12000000
03/31/1999,7322218.00,0.00,10.00,10000000
03/27/1999,19708296.00,0.00,70.00,70000000
03/24/1999,14840912.00,0.00,60.00,60000000
03/20/1999,13529791.00,0.00,52.00,52000000
03/17/1999,10541640.00,0.00,45.00,45000000
03/13/1999,10903897.00,0.00,40.00,40000000
03/10/1999,8617808.00,0.00,34.00,34000000
03/06/1999,9222965.00,0.00,28.00,28000000
03/03/1999,7803698.00,0.00,24.00,24000000
02/27/1999,8470042.00,0.00,20.00,20000000
02/24/1999,6968169.00,0.00,16.00,16000000
02/20/1999,7864156.00,0.00,14.00,14000000
02/17/1999,6590645.00,0.00,12.00,12000000
02/13/1999,7483417.00,0.00,10.00,10000000
02/10/1999,8212966.00,0.00,28.00,28000000
02/06/1999,8967548.00,0.00,24.00,24000000
02/03/1999,7427052.00,0.00,19.00,19000000
01/30/1999,8202179.00,0.00,16.00,16000000
01/27/1999,6924878.00,0.00,14.00,14000000
01/23/1999,7790750.00,0.00,12.00,12000000
01/20/1999,7014150.00,0.00,10.00,10000000
01/16/1999,16686911.00,0.00,66.00,66000000
01/13/1999,13247846.00,0.00,57.00,57000000
01/09/1999,12142102.00,0.00,50.00,50000000
01/06/1999,9912637.00,0.00,45.00,45000000
01/02/1999,9020255.00,0.00,40.00,40000000
