Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/30/2000,7400633.00,0.00,10.00,10000000
12/27/2000,7890641.00,0.00,33.00,33000000
12/23/2000,9359367.00,0.00,28.00,28000000
12/20/2000,7699958.00,0.00,24.00,24000000
12/16/2000,8168083.00,0.00,20.00,20000000
12/13/2000,6870148.00,0.00,16.00,16000000
12/09/2000,7925823.00,0.00,14.00,14000000
12/06/2000,7046560.00,0.00,12.00,12000000
12/02/2000,8323046.00,0.00,10.00,10000000
11/29/2000,48007720.00,0.00,130.00,130000000
11/25/2000,27616901.00,0.00,105.00,105000000
11/22/2000,24244062.00,0.00,92.00,92000000
11/18/2000,18217356.00,0.00,78.00,78000000
11/15/2000,15363299.00,0.00,70.00,70000000
11/11/2000,13571497.00,0.00,62.00,62000000
11/08/2000,10983474.00,0.00,54.00,54000000
11/04/2000,11005648.00,0.00,47.00,47000000
11/01/2000,9156461.00,0.00,42.00,42000000
10/28/2000,9133387.00,0.00,37.00,37000000
10/25/2000,7812031.00,0.00,32.00,32000000
10/21/2000,8057753.00,0.00,28.00,28000000
10/18/2000,6882598.00,0.00,24.00,24000000
10/14/2000,7689802.00,0.00,21.00,21000000
10/11/2000,6349776.00,0.00,18.00,18000000
10/07/2000,7176187.00,0.00,16.00,16000000
10/04/2000,6218928.00,0.00,14.00,14000000
09/30/2000,6911892.00,0.00,12.00,12000000
09/27/2000,5874304.00,0.00,10.00,10000000
09/23/2000,8363155.00,0.00,29.00,29000000
09/20/2000,7166557.00,0.00,25.00,25000000
09/16/2000,7783310.00,0.00,21.00,21000000
09/13/2000,6557801.00,0.00,18.00,18000000
09/09/2000,7306535.00,0.00,16.00,16000000
09/06/2000,6107990.00,0.00,14.00,14000000
09/02/2000,7182578.00,0.00,12.00,12000000
08/30/2000,5987591.00,0.00,10.00,10000000
08/26/2000,7317120.00,0.00,14.00,14000000
08/23/2000,6355564.00,0.00,12.00,12000000
08/19/2000,7142643.00,0.00,10.00,10000000
08/16/2000,7443529.00,0.00,23.00,23000000
08/12/2000,7999316.00,0.00,19.00,19000000
08/09/2000,6872179.00,0.00,16.00,16000000
08/05/2000,7611868.00,0.00,14.00,14000000
08/02/2000,6580687.00,0.00,12.00,12000000
07/29/2000,7245052.00,0.00,10.00,10000000
07/26/2000,6719122.00,0.00,10.00,10000000
07/22/2000,13817359.00,0.00,65.00,65000000
07/19/2000,11384507.00,0.00,57.00,57000000
07/15/2000,11575918.00,0.00,51.00,51000000
07/12/2000,9559205.00,0.00,45.00,45000000
07/08/2000,9904277.00,0.00,40.00,40000000
07/05/2000,7808775.00,0.00,36.00,36000000
07/01/2000,8971209.00,0.00,31.00,31000000
06/28/2000,7542006.00,0.00,27.00,27000000
06/24/2000,8193996.00,0.00,23.00,23000000
06/21/2000,6947332.00,0.00,18.00,18000000
06/17/2000,7686673.00,0.00,16.00,16000000
06/14/2000,6630878.00,0.00,14.00,14000000
06/10/2000,7358539.00,0.00,12.00,12000000
06/07/2000,6477056.00,0.00,10.00,10000000
06/03/2000,7777539.00,0.00,12.00,12000000
05/31/2000,6686026.00,0.00,10.00,10000000
05/27/2000,13668488.00,0.00,61.00,61000000
05/24/2000,11340234.00,0.00,54.00,54000000
05/20/2000,11309298.00,0.00,48.00,48000000
05/17/2000,9866708.00,0.00,41.00,41000000
05/13/2000,9889051.00,0.00,35.00,35000000
05/10/2000,8972394.00,0.00,28.00,28000000
05/06/2000,9542893.00,0.00,23.00,23000000
05/03/2000,7682962.00,0.00,18.00,18000000
04/29/2000,8177531.00,0.00,14.00,14000000
04/26/2000,6992779.00,0.00,12.00,12000000
04/22/2000,8788695.00,0.00,10.00,10000000
04/19/2000,18308581.00,0.00,80.00,80000000
04/15/2000,16865767.00,0.00,70.00,70000000
04/12/2000,13466748.00,0.00,60.00,60000000
04/08/2000,13032646.00,0.00,54.00,54000000
04/05/2000,10729655.00,0.00,46.00,46000000
04/01/2000,11377659.00,0.00,40.00,40000000
03/29/2000,9187775.00,0.00,34.00,34000000
03/25/2000,9699923.00,0.00,28.00,28000000
03/22/2000,8207077.00,0.00,23.00,23000000
03/18/2000,8832165.00,0.00,18.00,18000000
03/15/2000,7595591.00,0.00,14.00,14000000
03/11/2000,8552240.00,0.00,12.00,12000000
03/08/2000,8597558.00,0.00,10.00,10000000
03/04/2000,77092846.00,0.00,150.00,150000000
03/01/2000,43695461.00,0.00,100.00,100000000
02/26/2000,24206015.00,0.00,83.00,83000000
02/23/2000,17993097.00,0.00,70.00,70000000
02/19/2000,14950267.00,0.00,60.00,60000000
02/16/2000,12069606.00,0.00,51.00,51000000
02/12/2000,10972799.00,0.00,45.00,45000000
02/09/2000,8744437.00,0.00,38.00,38000000
02/05/2000,9164858.00,0.00,33.00,33000000
02/02/2000,7435126.00,0.00,28.00,28000000
01/29/2000,7890695.00,0.00,24.00,24000000
01/26/2000,6415603.00,0.00,19.00,19000000
01/22/2000,7159403.00,0.00,16.00,16000000
01/19/2000,6207533.00,0.00,14.00,14000000
01/15/2000,7022703.00,0.00,12.00,12000000
01/12/2000,6083918.00,0.00,10.00,10000000
01/08/2000,8933349.00,0.00,32.00,32000000
01/05/2000,7341947.00,0.00,27.00,27000000
01/01/2000,8320166.00,0.00,23.00,23000000
