Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/31/2011,24771936,4116045,25,25000000
12/28/2011,18839498,3198822,20,20000000
12/24/2011,42162193,5873279,125,125000000
12/21/2011,31784265,4705316,104,104000000
12/17/2011,28354501,4568297,91,91000000
12/14/2011,23782276,3908243,78,78000000
12/10/2011,24532617,4100508,67,67000000
12/07/2011,21170696,3610108,52,52000000
12/03/2011,22662144,3944208,40,40000000
11/30/2011,19524656,3396161,31,31000000
11/26/2011,19301014,3484253,25,25000000
11/23/2011,19958434,3489879,20,20000000
11/19/2011,25905601,4310684,60,60000000
11/16/2011,22607166,3857159,46,46000000
11/12/2011,24638266,4168616,35,35000000
11/09/2011,20767046,3595177,25,25000000
11/05/2011,23222895,3969048,20,20000000
11/02/2011,83669599,9584564,245,245000000
10/29/2011,60224206,7564568,203,203000000
10/26/2011,47733264,6168589,173,173000000
10/22/2011,41452063,5818941,148,148000000
10/19/2011,35546862,5035152,124,124000000
10/15/2011,33736971,5064198,105,105000000
10/12/2011,25587195,4112270,86,86000000
10/08/2011,26022291,4295039,71,71000000
10/05/2011,22271967,3753552,58,58000000
10/01/2011,22686123,3974619,47,47000000
09/28/2011,19116699,3393573,37,37000000
09/24/2011,20863035,3687249,30,30000000
09/21/2011,18344632,3271164,25,25000000
09/17/2011,20285788,3614271,20,20000000
09/14/2011,18972764,3379280,25,25000000
09/10/2011,21578237,3765926,20,20000000
09/07/2011,32461128,4805018,107,107000000
09/03/2011,30796180,4890186,91,91000000
08/31/2011,24927632,4002018,75,75000000
08/27/2011,25985886,4241766,61,61000000
08/24/2011,22534415,3718328,47,47000000
08/20/2011,23371271,3984308,37,37000000
08/17/2011,20176539,3480154,25,25000000
08/13/2011,22968117,3904934,20,20000000
08/10/2011,68821907,8139169,220,220000000
08/06/2011,50135080,6685555,180,180000000
08/03/2011,42621658,5807169,160,160000000
07/30/2011,38186560,5565726,133,133000000
07/27/2011,32713879,4810460,111,111000000
07/23/2011,27911360,4526355,92,92000000
07/20/2011,22948855,3844115,76,76000000
07/16/2011,23639371,4097178,61,61000000
07/13/2011,20203392,3536997,48,48000000
07/09/2011,21005870,3751101,36,36000000
07/06/2011,17347900,3180426,25,25000000
07/02/2011,20281059,3707393,20,20000000
06/29/2011,22769190,3878029,76,76000000
06/25/2011,23862804,4189633,63,63000000
06/22/2011,20407665,3633408,48,48000000
06/18/2011,21609327,3926797,36,36000000
06/15/2011,18700841,3454781,25,25000000
06/11/2011,20514850,3772971,20,20000000
06/08/2011,19735552,3562079,25,25000000
06/04/2011,22648465,3994627,20,20000000
06/01/2011,53851583,7117610,200,200000000
05/28/2011,44548124,6207449,171,171000000
05/25/2011,37437533,5318510,144,144000000
05/21/2011,35606388,5383206,120,120000000
05/18/2011,28352794,4466675,97,97000000
05/14/2011,27575934,4579789,81,81000000
05/11/2011,23027130,3912759,65,65000000
05/07/2011,24092735,4151179,50,50000000
05/04/2011,19995319,3603653,36,36000000
04/30/2011,21155718,3889173,25,25000000
04/27/2011,18553782,3393882,20,20000000
04/23/2011,27829093,4669198,72,72000000
04/20/2011,23885902,4072333,56,56000000
04/16/2011,23652296,4203698,43,43000000
04/13/2011,20444440,3688014,27,27000000
04/09/2011,23370901,4099554,20,20000000
04/06/2011,58217464,7611156,218,218000000
04/02/2011,49148514,7106695,187,187000000
03/30/2011,39090757,5764552,153,153000000
03/26/2011,39898318,6007453,125,125000000
03/23/2011,31151216,4962100,101,101000000
03/19/2011,26531084,4699839,85,85000000
03/16/2011,21989176,4026201,67,67000000
03/12/2011,23422605,4326013,54,54000000
03/09/2011,19918099,3772240,40,40000000
03/05/2011,21813405,4170079,25,25000000
03/02/2011,19656666,3756232,20,20000000
02/26/2011,48365255,7118074,184,184000000
02/23/2011,39625083,5993048,155,155000000
02/19/2011,37622199,5893619,126,126000000
02/16/2011,31976380,5135016,101,101000000
02/12/2011,26927569,4756333,82,82000000
02/09/2011,22157797,4019025,63,63000000
02/05/2011,23625565,4328952,50,50000000
02/02/2011,18167841,3459491,35,35000000
01/29/2011,20267441,3875620,25,25000000
01/26/2011,17849664,3400335,20,20000000
01/22/2011,34029573,5482879,122,122000000
01/19/2011,27158928,4593142,96,96000000
01/15/2011,26778161,4724566,82,82000000
01/12/2011,21227821,3820255,67,67000000
01/08/2011,22798187,4257480,51,51000000
01/05/2011,21987195,3933394,34,34000000
01/01/2011,20986302,3935676,25,25000000
