Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/29/2001,9465658,0,33,33000000
12/26/2001,7521115,0,28,28000000
12/22/2001,9049477,0,24,24000000
12/19/2001,7645900,0,20,20000000
12/15/2001,8136720,0,16,16000000
12/12/2001,7097026,0,14,14000000
12/08/2001,7812322,0,12,12000000
12/05/2001,6881518,0,10,10000000
12/01/2001,9207857,0,29,29000000
11/28/2001,8002137,0,24,24000000
11/24/2001,8205891,0,20,20000000
11/21/2001,7860000,0,16,16000000
11/17/2001,8293273,0,14,14000000
11/14/2001,7242866,0,12,12000000
11/10/2001,8398910,0,10,10000000
11/07/2001,11307130,0,55,55000000
11/03/2001,11927436,0,50,50000000
10/31/2001,9647767,0,45,45000000
10/27/2001,10181856,0,40,40000000
10/24/2001,8762181,0,35,35000000
10/20/2001,9507534,0,30,30000000
10/17/2001,8191678,0,25,25000000
10/13/2001,8962689,0,21,21000000
10/10/2001,7730059,0,16,16000000
10/06/2001,8635605,0,14,14000000
10/03/2001,7700373,0,12,12000000
09/29/2001,8768966,0,10,10000000
09/26/2001,10563159,0,48,48000000
09/22/2001,11299082,0,43,43000000
09/19/2001,9695191,0,36,36000000
09/15/2001,10280328,0,31,31000000
09/12/2001,8913768,0,27,27000000
09/08/2001,10908295,0,22,22000000
09/05/2001,9256235,0,16,16000000
09/01/2001,11038937,0,12,12000000
08/29/2001,11609972,0,10,10000000
08/25/2001,203868890,0,280,280000000
08/22/2001,117448757,0,200,200000000
08/18/2001,50139368,0,128,128000000
08/15/2001,33890370,0,100,100000000
08/11/2001,20096990,0,86,86000000
08/08/2001,16726966,0,75,75000000
08/04/2001,15365257,0,67,67000000
08/01/2001,11632349,0,59,59000000
07/28/2001,11627802,0,52,52000000
07/25/2001,9600929,0,46,46000000
07/21/2001,9878908,0,41,41000000
07/18/2001,8379525,0,36,36000000
07/14/2001,8968690,0,31,31000000
07/11/2001,7591363,0,27,27000000
07/07/2001,8102034,0,23,23000000
07/04/2001,6704001,0,18,18000000
06/30/2001,7652840,0,16,16000000
06/27/2001,6589883,0,14,14000000
06/23/2001,7328072,0,12,12000000
06/20/2001,6339419,0,10,10000000
06/16/2001,7906112,0,20,20000000
06/13/2001,6822330,0,16,16000000
06/09/2001,7520434,0,14,14000000
06/06/2001,6688909,0,12,12000000
06/02/2001,7819018,0,10,10000000
05/30/2001,11241279,0,62,62000000
05/26/2001,11713185,0,56,56000000
05/23/2001,9854780,0,49,49000000
05/19/2001,10130523,0,44,44000000
05/16/2001,8605823,0,38,38000000
05/12/2001,9164987,0,34,34000000
05/09/2001,7829671,0,29,29000000
05/05/2001,8483770,0,24,24000000
05/02/2001,7251145,0,20,20000000
04/28/2001,7874779,0,16,16000000
04/25/2001,6955650,0,14,14000000
04/21/2001,7850585,0,12,12000000
04/18/2001,7326783,0,10,10000000
04/14/2001,18814912,0,84,84000000
04/11/2001,15433027,0,74,74000000
04/07/2001,14283622,0,66,66000000
04/04/2001,12108440,0,59,59000000
03/31/2001,12450350,0,52,52000000
03/28/2001,10204419,0,45,45000000
03/24/2001,10467071,0,40,40000000
03/21/2001,9151661,0,35,35000000
03/17/2001,9673484,0,30,30000000
03/14/2001,8265191,0,25,25000000
03/10/2001,8887303,0,21,21000000
03/07/2001,7539748,0,16,16000000
03/03/2001,8456250,0,14,14000000
02/28/2001,7184656,0,12,12000000
02/24/2001,8637586,0,10,10000000
02/21/2001,25698387,0,93,93000000
02/17/2001,20061638,0,80,80000000
02/14/2001,15817438,0,69,69000000
02/10/2001,13884274,0,61,61000000
02/07/2001,11613197,0,53,53000000
02/03/2001,11293530,0,47,47000000
01/31/2001,9330370,0,42,42000000
01/27/2001,9406069,0,37,37000000
01/24/2001,8183653,0,31,31000000
01/20/2001,8361102,0,26,26000000
01/17/2001,7268081,0,22,22000000
01/13/2001,7831956,0,19,19000000
01/10/2001,6790990,0,16,16000000
01/06/2001,7442465,0,14,14000000
01/03/2001,6244275,0,12,12000000
