Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/29/2012,26496494,2505860,40,40000000
12/26/2012,24678590,2245675,50,50000000
12/22/2012,28226500,2622463,40,40000000
12/19/2012,27032476,2481613,50,50000000
12/15/2012,27894190,2620228,40,40000000
12/12/2012,29968482,2727825,50,50000000
12/08/2012,29127962,2730493,40,40000000
12/05/2012,28562350,2631290,50,50000000
12/01/2012,29856052,2778818,40,40000000
11/28/2012,563131974,26218974,587,587000000
11/24/2012,140096440,8476965,325,325000000
11/21/2012,86533120,5543806,250,250000000
11/17/2012,69802810,4772489,214,214000000
11/14/2012,53293298,3794895,185,185000000
11/10/2012,50084854,3772787,168,168000000
11/07/2012,41636834,3243858,143,143000000
11/03/2012,40695206,3369082,124,124000000
10/31/2012,31815474,2732749,110,110000000
10/27/2012,37742994,3081952,100,100000000
10/24/2012,29295472,2547738,90,90000000
10/20/2012,30308588,2705413,80,80000000
10/17/2012,25502284,2362969,70,70000000
10/13/2012,27323808,2557437,60,60000000
10/10/2012,23936618,2265794,50,50000000
10/06/2012,26312158,2487312,40,40000000
10/03/2012,25597354,2391629,50,50000000
09/29/2012,27665924,2562163,40,40000000
09/26/2012,61500390,4242993,200,200000000
09/22/2012,50685726,3802526,174,174000000
09/19/2012,42540904,3268231,149,149000000
09/15/2012,41144178,3326883,125,125000000
09/12/2012,34252206,2892921,110,110000000
09/08/2012,36084614,3128521,100,100000000
09/05/2012,28404890,2577588,90,90000000
09/01/2012,31451190,2876698,80,80000000
08/29/2012,26252430,2406395,70,70000000
08/25/2012,28682420,2660432,60,60000000
08/22/2012,25218072,2362821,50,50000000
08/18/2012,26755994,2515060,40,40000000
08/15/2012,172237868,9525749,320,320000000
08/11/2012,89898892,5881870,253,253000000
08/08/2012,68901034,4679168,212,212000000
08/04/2012,56931072,4174239,181,181000000
08/01/2012,46693638,3541603,158,158000000
07/28/2012,43157436,3455703,139,139000000
07/25/2012,38355236,3085767,121,121000000
07/21/2012,38916664,3226240,110,110000000
07/18/2012,35073106,2917111,100,100000000
07/14/2012,32351772,2877874,90,90000000
07/11/2012,27543450,2489298,80,80000000
07/07/2012,28446968,2645775,70,70000000
07/04/2012,22949432,2225811,60,60000000
06/30/2012,25615186,2479942,50,50000000
06/27/2012,22391160,2169375,40,40000000
06/23/2012,27858642,2609827,60,60000000
06/20/2012,24433512,2309768,50,50000000
06/16/2012,27734996,2569560,40,40000000
06/13/2012,66099926,4554897,241,241000000
06/09/2012,60632780,4391834,205,205000000
06/06/2012,47520538,3616960,177,177000000
06/02/2012,47226336,3741974,164,164000000
05/30/2012,37553610,2988035,146,146000000
05/26/2012,39625132,3247704,128,128000000
05/23/2012,34631256,2870696,110,110000000
05/19/2012,36478078,3099787,100,100000000
05/16/2012,28536260,2561540,90,90000000
05/12/2012,30465462,2771164,80,80000000
05/09/2012,26297978,2435984,70,70000000
05/05/2012,27802074,2641657,60,60000000
05/02/2012,24434108,2356309,50,50000000
04/28/2012,27850450,2627843,40,40000000
04/25/2012,44725302,3477205,173,173000000
04/21/2012,44568434,3608823,152,152000000
04/18/2012,38569228,3179378,131,131000000
04/14/2012,40154098,3338689,113,113000000
04/11/2012,31503602,2794411,94,94000000
04/07/2012,32817922,2965575,80,80000000
04/04/2012,28978038,2623485,70,70000000
03/31/2012,38305078,3335997,60,60000000
03/28/2012,29115092,2687696,50,50000000
03/24/2012,29999742,2828541,40,40000000
03/21/2012,29032202,2732888,70,70000000
03/17/2012,32414134,3031289,60,60000000
03/14/2012,27901808,2665167,50,50000000
03/10/2012,32413242,3057693,40,40000000
03/07/2012,30836346,2928736,60,60000000
03/03/2012,34352940,3266963,50,50000000
02/29/2012,29055550,2742270,40,40000000
02/25/2012,37916166,3419920,70,70000000
02/22/2012,32766344,3002305,60,60000000
02/18/2012,37177904,3442221,50,50000000
02/15/2012,32691612,3025553,40,40000000
02/11/2012,169361618,10398105,325,325000000
02/08/2012,93526504,6324021,250,250000000
02/04/2012,75632272,5330475,200,200000000
02/01/2012,55285052,4102587,170,170000000
01/28/2012,49995462,3882738,146,146000000
01/25/2012,41302320,3289453,120,120000000
01/21/2012,40901890,3392197,100,100000000
01/18/2012,33352386,2872881,80,80000000
01/14/2012,24885431,4103408,66,66000000
01/11/2012,21467730,3580133,54,54000000
01/07/2012,22747865,3847029,44,44000000
01/04/2012,19026140,3296588,30,30000000
