Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/31/2008,20983719,0,80,80000000
12/27/2008,16945918,0,70,70000000
12/24/2008,19362415,0,62,62000000
12/20/2008,16777284,0,57,57000000
12/17/2008,14623703,0,50,50000000
12/13/2008,15557093,0,40,40000000
12/10/2008,13682460,0,35,35000000
12/06/2008,14727558,0,30,30000000
12/03/2008,13167444,0,25,25000000
11/29/2008,13299846,0,20,20000000
11/26/2008,12859427,0,15,15000000
11/22/2008,17067435,0,61,61000000
11/19/2008,14887848,0,50,50000000
11/15/2008,15899493,0,42,42000000
11/12/2008,13639951,0,32,32000000
11/08/2008,14697911,0,25,25000000
11/05/2008,12918154,0,20,20000000
11/01/2008,14172153,0,15,15000000
10/29/2008,15505826,0,59,59000000
10/25/2008,17078156,0,52,52000000
10/22/2008,14747387,0,42,42000000
10/18/2008,15856892,0,32,32000000
10/15/2008,13777127,0,25,25000000
10/11/2008,15116216,0,20,20000000
10/08/2008,13160825,0,15,15000000
10/04/2008,15428658,0,20,20000000
10/01/2008,14426354,0,15,15000000
09/27/2008,44765040,0,200,200000000
09/24/2008,34493168,0,176,176000000
09/20/2008,31755415,0,154,154000000
09/17/2008,27057880,0,136,136000000
09/13/2008,26031582,0,118,118000000
09/10/2008,22982970,0,102,102000000
09/06/2008,20790966,0,92,92000000
09/03/2008,16960226,0,81,81000000
08/30/2008,18470381,0,72,72000000
08/27/2008,15725016,0,62,62000000
08/23/2008,16845939,0,52,52000000
08/20/2008,14631485,0,43,43000000
08/16/2008,15512388,0,35,35000000
08/13/2008,13468008,0,25,25000000
08/09/2008,14835609,0,20,20000000
08/06/2008,12896112,0,15,15000000
08/02/2008,20183927,0,87,87000000
07/30/2008,17066704,0,75,75000000
07/26/2008,17529417,0,64,64000000
07/23/2008,15300101,0,54,54000000
07/19/2008,16093440,0,43,43000000
07/16/2008,14129522,0,33,33000000
07/12/2008,14838533,0,25,25000000
07/09/2008,13197661,0,20,20000000
07/05/2008,14224514,0,15,15000000
07/02/2008,18155586,0,85,85000000
06/28/2008,18579943,0,75,75000000
06/25/2008,16133145,0,64,64000000
06/21/2008,16889191,0,53,53000000
06/18/2008,14759207,0,42,42000000
06/14/2008,15504984,0,33,33000000
06/11/2008,13174219,0,25,25000000
06/07/2008,14435106,0,20,20000000
06/04/2008,12951401,0,15,15000000
05/31/2008,15864549,0,33,33000000
05/28/2008,13189071,0,25,25000000
05/24/2008,15040228,0,20,20000000
05/21/2008,13140517,0,15,15000000
05/17/2008,16355563,0,35,35000000
05/14/2008,14394887,0,26,26000000
05/10/2008,15744455,0,20,20000000
05/07/2008,14220001,0,15,15000000
05/03/2008,34806589,0,179,179000000
04/30/2008,29858610,0,162,162000000
04/26/2008,28708568,0,144,144000000
04/23/2008,24752135,0,125,125000000
04/19/2008,24887983,0,105,105000000
04/16/2008,20515685,0,91,91000000
04/12/2008,20872601,0,80,80000000
04/09/2008,18038487,0,68,68000000
04/05/2008,19344381,0,57,57000000
04/02/2008,16572671,0,46,46000000
03/29/2008,17278394,0,36,36000000
03/26/2008,14901857,0,26,26000000
03/22/2008,16489045,0,20,20000000
03/19/2008,15174006,0,15,15000000
03/15/2008,72525664,0,275,275000000
03/12/2008,55510717,0,230,230000000
03/08/2008,47264359,0,200,200000000
03/05/2008,35921579,0,173,173000000
03/01/2008,33120539,0,153,153000000
02/27/2008,28039513,0,133,133000000
02/23/2008,26285278,0,115,115000000
02/20/2008,23045491,0,100,100000000
02/16/2008,19830295,0,86,86000000
02/13/2008,16485820,0,74,74000000
02/09/2008,17919063,0,63,63000000
02/06/2008,15249726,0,52,52000000
02/02/2008,16538757,0,43,43000000
01/30/2008,13873360,0,33,33000000
01/26/2008,14944716,0,25,25000000
01/23/2008,13011737,0,20,20000000
01/19/2008,14661601,0,15,15000000
01/16/2008,20705464,0,95,95000000
01/12/2008,20249011,0,83,83000000
01/09/2008,17359952,0,71,71000000
01/05/2008,17891774,0,63,63000000
01/02/2008,14611312,0,52,52000000
