Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/31/2003,89585661,0,210,210000000
12/27/2003,43544359,0,170,170000000
12/24/2003,44797436,0,137,137000000
12/20/2003,29088897,0,116,116000000
12/17/2003,23555449,0,100,100000000
12/13/2003,19066752,0,88,88000000
12/10/2003,15838304,0,76,76000000
12/06/2003,15573292,0,66,66000000
12/03/2003,14049942,0,57,57000000
11/29/2003,13418021,0,48,48000000
11/26/2003,12986217,0,40,40000000
11/22/2003,13040858,0,33,33000000
11/19/2003,11068653,0,25,25000000
11/15/2003,12016165,0,19,19000000
11/12/2003,10055876,0,12,12000000
11/08/2003,11369548,0,10,10000000
11/05/2003,10423235,0,12,12000000
11/01/2003,11396987,0,10,10000000
10/29/2003,10586974,0,10,10000000
10/25/2003,47152942,0,190,190000000
10/22/2003,35252267,0,162,162000000
10/18/2003,30579569,0,140,140000000
10/15/2003,24965814,0,117,117000000
10/11/2003,23518073,0,102,102000000
10/08/2003,17621426,0,88,88000000
10/04/2003,17724648,0,79,79000000
10/01/2003,14783816,0,69,69000000
09/27/2003,15322778,0,60,60000000
09/24/2003,13194791,0,50,50000000
09/20/2003,13533164,0,43,43000000
09/17/2003,11863748,0,35,35000000
09/13/2003,12618246,0,28,28000000
09/10/2003,10940370,0,20,20000000
09/06/2003,11626184,0,12,12000000
09/03/2003,10909344,0,10,10000000
08/30/2003,33265454,0,140,140000000
08/27/2003,27159453,0,115,115000000
08/23/2003,25332808,0,100,100000000
08/20/2003,18505672,0,85,85000000
08/16/2003,17765663,0,72,72000000
08/13/2003,15051984,0,61,61000000
08/09/2003,15006513,0,53,53000000
08/06/2003,12844765,0,42,42000000
08/02/2003,13241179,0,33,33000000
07/30/2003,11224665,0,25,25000000
07/26/2003,11720425,0,18,18000000
07/23/2003,10392274,0,12,12000000
07/19/2003,11283606,0,10,10000000
07/16/2003,11004107,0,14,14000000
07/12/2003,12710139,0,10,10000000
07/09/2003,110055858,0,240,240000000
07/05/2003,65180563,0,200,200000000
07/02/2003,48521684,0,165,165000000
06/28/2003,36749985,0,135,135000000
06/25/2003,28800559,0,110,110000000
06/21/2003,23475972,0,95,95000000
06/18/2003,18209434,0,82,82000000
06/14/2003,17263826,0,75,75000000
06/11/2003,14033722,0,65,65000000
06/07/2003,14222513,0,57,57000000
06/04/2003,12149892,0,48,48000000
05/31/2003,12911499,0,42,42000000
05/28/2003,10371816,0,35,35000000
05/24/2003,11643204,0,29,29000000
05/21/2003,10032236,0,23,23000000
05/17/2003,10672263,0,18,18000000
05/14/2003,9098573,0,12,12000000
05/10/2003,10846519,0,10,10000000
05/07/2003,19102321,0,87,87000000
05/03/2003,18122579,0,77,77000000
04/30/2003,14713597,0,67,67000000
04/26/2003,14482077,0,59,59000000
04/23/2003,12432086,0,51,51000000
04/19/2003,12927602,0,44,44000000
04/16/2003,10671517,0,37,37000000
04/12/2003,11500740,0,30,30000000
04/09/2003,9821258,0,24,24000000
04/05/2003,10754887,0,18,18000000
04/02/2003,9035161,0,12,12000000
03/29/2003,10388784,0,10,10000000
03/26/2003,13483954,0,62,62000000
03/22/2003,13796568,0,53,53000000
03/19/2003,11805627,0,45,45000000
03/15/2003,12689435,0,38,38000000
03/12/2003,10803936,0,30,30000000
03/08/2003,11653655,0,24,24000000
03/05/2003,9936491,0,17,17000000
03/01/2003,11031057,0,12,12000000
02/26/2003,9315306,0,10,10000000
02/22/2003,13687842,0,42,42000000
02/19/2003,10990939,0,34,34000000
02/15/2003,12492689,0,27,27000000
02/12/2003,10619758,0,20,20000000
02/08/2003,11680205,0,12,12000000
02/05/2003,10890725,0,10,10000000
02/01/2003,25651455,0,100,100000000
01/29/2003,17650662,0,86,86000000
01/25/2003,18049039,0,77,77000000
01/22/2003,15134102,0,67,67000000
01/18/2003,15852907,0,57,57000000
01/15/2003,13783628,0,47,47000000
01/11/2003,14271083,0,38,38000000
01/08/2003,12403361,0,29,29000000
01/04/2003,13128795,0,20,20000000
01/01/2003,11823212,0,12,12000000
