Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/29/2010,17780026,3444488,20,20000000
12/25/2010,21125168,3828713,46,46000000
12/22/2010,19690822,3809419,35,35000000
12/18/2010,20170142,3967395,25,25000000
12/15/2010,17624726,3501606,20,20000000
12/11/2010,21256424,4156363,37,37000000
12/08/2010,18306999,3641988,25,25000000
12/04/2010,20891222,4080043,20,20000000
12/01/2010,26455102,4615896,95,95000000
11/27/2010,23408982,4374770,79,79000000
11/24/2010,23633540,4322207,64,64000000
11/20/2010,23769024,4425199,50,50000000
11/17/2010,20128151,3863635,35,35000000
11/13/2010,21644503,4176188,25,25000000
11/10/2010,19271815,3748831,20,20000000
11/06/2010,36959961,5921610,123,123000000
11/03/2010,30837546,5156626,104,104000000
10/30/2010,26539388,4842660,87,87000000
10/27/2010,22629280,4169175,72,72000000
10/23/2010,23766218,4444566,59,59000000
10/20/2010,20324810,3892119,46,46000000
10/16/2010,21728971,4224817,34,34000000
10/13/2010,18709731,3680960,25,25000000
10/09/2010,21069092,4125939,20,20000000
10/06/2010,22818806,4262356,60,60000000
10/02/2010,24309114,4660067,48,48000000
09/29/2010,20214836,3899229,35,35000000
09/25/2010,21909458,4274751,25,25000000
09/22/2010,19554667,3818338,20,20000000
09/18/2010,34189186,5766049,112,112000000
09/15/2010,27215216,4812580,94,94000000
09/11/2010,26721007,4918722,79,79000000
09/08/2010,22522686,4216514,62,62000000
09/04/2010,24420481,4676091,47,47000000
09/01/2010,20654196,4023009,34,34000000
08/28/2010,21228227,4143608,25,25000000
08/25/2010,19057422,3736101,20,20000000
08/21/2010,27499193,5034328,80,80000000
08/18/2010,23077525,4352484,64,64000000
08/14/2010,24483737,4712972,51,51000000
08/11/2010,20682246,4108557,38,38000000
08/07/2010,22076590,4396128,25,25000000
08/04/2010,20053010,3999674,20,20000000
07/31/2010,28794907,5317398,85,85000000
07/28/2010,24144586,4469142,67,67000000
07/24/2010,25157201,4793631,52,52000000
07/21/2010,21603539,4209548,37,37000000
07/17/2010,22446683,4479637,27,27000000
07/14/2010,20145814,4034771,20,20000000
07/10/2010,27635903,5189791,72,72000000
07/07/2010,23282946,4508896,54,54000000
07/03/2010,25619440,5048935,41,41000000
06/30/2010,21611238,4313686,27,27000000
06/26/2010,22870346,4612260,20,20000000
06/23/2010,28593798,5292327,97,97000000
06/19/2010,28542442,5552080,78,78000000
06/16/2010,25440953,5054515,60,60000000
06/12/2010,25833923,5201990,44,44000000
06/09/2010,22533772,4622008,28,28000000
06/05/2010,25027219,5020389,20,20000000
06/02/2010,59485649,9185636,260,260000000
05/29/2010,52757061,8864698,220,220000000
05/26/2010,41711258,7104383,190,190000000
05/22/2010,40400017,7229950,164,164000000
05/19/2010,35863462,6538813,145,145000000
05/15/2010,34878683,6649847,120,120000000
05/12/2010,29287559,5843221,97,97000000
05/08/2010,28788126,5808567,80,80000000
05/05/2010,24990275,5170663,60,60000000
05/01/2010,25880765,5246570,45,45000000
04/28/2010,21850871,4174230,30,30000000
04/24/2010,23746854,4450367,20,20000000
04/21/2010,68753081,9554163,252,252000000
04/17/2010,54155892,8084180,212,212000000
04/14/2010,39986010,6119936,177,177000000
04/10/2010,38072676,6177501,150,150000000
04/07/2010,32505574,5444820,125,125000000
04/03/2010,33430895,5818806,103,103000000
03/31/2010,25881059,4649824,82,82000000
03/27/2010,26490335,4873235,65,65000000
03/24/2010,22871116,4280274,45,45000000
03/20/2010,23851801,4546.37,30,30000000
03/17/2010,22336363,4237993,20,20000000
03/13/2010,57239387,8335800,211,211000000
03/10/2010,41968422,6470707,172,172000000
03/06/2010,37513118,6303025,144,144000000
03/03/2010,33019146,5599177,114,114000000
02/27/2010,28853280,5365786,95,95000000
02/24/2010,24821351,4713751,76,76000000
02/20/2010,25747371,5047912,57,57000000
02/17/2010,22180214,4440934,40,40000000
02/13/2010,23691641,4725428,25,25000000
02/10/2010,20879429,4103589,20,20000000
02/06/2010,39115101,6567186,140,140000000
02/03/2010,36570810,6236199,115,115000000
01/30/2010,22002653,4346111,90,90000000
01/27/2010,19227635,3898819,76,76000000
01/23/2010,20174911,4154196,65,65000000
01/20/2010,17339630,3611695,51,51000000
01/16/2010,18310940,3816771,40,40000000
01/13/2010,15831466,3351777,30,30000000
01/09/2010,16571399,3565801,25,25000000
01/06/2010,15143519,3281291,20,20000000
01/02/2010,17109251,3664065,25,25000000
