Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/29/2007,16287679,0,42,42000000
12/26/2007,13703279,0,32,32000000
12/22/2007,15522456,0,25,25000000
12/19/2007,13168634,0,20,20000000
12/15/2007,14008351,0,15,15000000
12/12/2007,14228329,0,33,33000000
12/08/2007,15144083,0,26,26000000
12/05/2007,13439842,0,20,20000000
12/01/2007,15414681,0,15,15000000
11/28/2007,29017165,0,155,155000000
11/24/2007,25061719,0,137,137000000
11/21/2007,25586135,0,120,120000000
11/17/2007,24590076,0,109,109000000
11/14/2007,19871083,0,95,95000000
11/10/2007,19767325,0,82,82000000
11/07/2007,16995212,0,71,71000000
11/03/2007,17697308,0,62,62000000
10/31/2007,15064736,0,51,51000000
10/27/2007,15932027,0,43,43000000
10/24/2007,13906184,0,34,34000000
10/20/2007,15044521,0,26,26000000
10/17/2007,13176495,0,20,20000000
10/13/2007,14232330,0,15,15000000
10/10/2007,13418049,0,20,20000000
10/06/2007,14638693,0,15,15000000
10/03/2007,13351602,0,15,15000000
09/29/2007,15275860,0,15,15000000
09/26/2007,16896627,0,61,61000000
09/22/2007,17411558,0,48,48000000
09/19/2007,15107028,0,38,38000000
09/15/2007,16054356,0,29,29000000
09/12/2007,14078547,0,20,20000000
09/08/2007,15643505,0,15,15000000
09/05/2007,14416929,0,29,29000000
09/01/2007,16445504,0,20,20000000
08/29/2007,14749514,0,15,15000000
08/25/2007,93655796,0,300,300000000
08/22/2007,59183652,0,245,245000000
08/18/2007,47045359,0,210,210000000
08/15/2007,36685610,0,181,181000000
08/11/2007,32503602,0,161,161000000
08/08/2007,28242100,0,141,141000000
08/04/2007,26928554,0,123,123000000
08/01/2007,23045126,0,105,105000000
07/28/2007,21215934,0,94,94000000
07/25/2007,17761292,0,82,82000000
07/21/2007,18138543,0,72,72000000
07/18/2007,15617169,0,60,60000000
07/14/2007,16476120,0,50,50000000
07/11/2007,13806569,0,36,36000000
07/07/2007,18597563,0,27,27000000
07/04/2007,12398218,0,20,20000000
06/30/2007,14272757,0,15,15000000
06/27/2007,21323660,0,103,103000000
06/23/2007,19232078,0,89,89000000
06/20/2007,16703340,0,76,76000000
06/16/2007,17288520,0,66,66000000
06/13/2007,14887040,0,54,54000000
06/09/2007,15520631,0,43,43000000
06/06/2007,13558914,0,32,32000000
06/02/2007,14681358,0,25,25000000
05/30/2007,12259556,0,20,20000000
05/26/2007,13878244,0,15,15000000
05/23/2007,15821221,0,63,63000000
05/19/2007,16578419,0,53,53000000
05/16/2007,14476063,0,43,43000000
05/12/2007,15389625,0,34,34000000
05/09/2007,13588643,0,25,25000000
05/05/2007,15024074,0,20,20000000
05/02/2007,13228695,0,15,15000000
04/28/2007,18446149,0,68,68000000
04/25/2007,16227270,0,57,57000000
04/21/2007,17144937,0,47,47000000
04/18/2007,15076998,0,36,36000000
04/14/2007,16400335,0,27,27000000
04/11/2007,14021186,0,20,20000000
04/07/2007,15520061,0,15,15000000
04/04/2007,14020234,0,15,15000000
03/31/2007,17633789,0,41,41000000
03/28/2007,15233386,0,30,30000000
03/24/2007,16463984,0,20,20000000
03/21/2007,15350147,0,15,15000000
03/17/2007,34514643,0,183,183000000
03/14/2007,30578191,0,165,165000000
03/10/2007,30194632,0,142,142000000
03/07/2007,27647905,0,120,120000000
03/03/2007,25213388,0,105,105000000
02/28/2007,20474945,0,90,90000000
02/24/2007,20038356,0,78,78000000
02/21/2007,17459255,0,67,67000000
02/17/2007,18236685,0,58,58000000
02/14/2007,15488986,0,46,46000000
02/10/2007,17128125,0,37,37000000
02/07/2007,14923778,0,27,27000000
02/03/2007,16333411,0,20,20000000
01/31/2007,14088177,0,15,15000000
01/27/2007,16435815,0,15,15000000
01/24/2007,65987058,0,240,240000000
01/20/2007,50210755,0,205,205000000
01/17/2007,35269063,0,180,180000000
01/13/2007,33447226,0,155,155000000
01/10/2007,27754965,0,131,131000000
01/06/2007,26716519,0,115,115000000
01/03/2007,21936400,0,100,100000000
