Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/31/2014,35143390,3064057,120,120000000
12/27/2014,28093884,2634320,110,110000000
12/24/2014,33880826,2935614,100,100000000
12/20/2014,26829430,2565619,90,90000000
12/17/2014,23325824,2238237,80,80000000
12/13/2014,25457952,2483276,70,70000000
12/10/2014,21940372,2147819,60,60000000
12/06/2014,23826250,2361364,50,50000000
12/03/2014,21189316,2100954,40,40000000
11/29/2014,25571126,2447023,90,90000000
11/26/2014,25597082,2359117,80,80000000
11/22/2014,26230686,2468558,70,70000000
11/19/2014,22623050,2137621,60,60000000
11/15/2014,25229772,2414172,50,50000000
11/12/2014,22622144,2128350,40,40000000
11/08/2014,47860870,3728969,203,203000000
11/05/2014,40186958,3227821,178,178000000
11/01/2014,38310224,3289309,159,159000000
10/29/2014,33638806,2840571,142,142000000
10/25/2014,34320960,2999860,125,125000000
10/22/2014,30426498,2675412,110,110000000
10/18/2014,31630790,2862639,100,100000000
10/15/2014,24940694,2349706,90,90000000
10/11/2014,26694518,2560793,80,80000000
10/08/2014,23752172,2286287,70,70000000
10/04/2014,25898918,2513826,60,60000000
10/01/2014,23152118,2260232,50,50000000
09/27/2014,25300628,2304387,40,40000000
09/24/2014,60074636,4031725,225,225000000
09/20/2014,50509168,3653219,196,196000000
09/17/2014,42070548,3140510,171,171000000
09/13/2014,39889050,3154867,149,149000000
09/10/2014,34954718,2767681,127,127000000
09/06/2014,34927144,2876984,110,110000000
09/03/2014,30712716,2552933,100,100000000
08/30/2014,28847454,2530882,90,90000000
08/27/2014,24388372,2180753,80,80000000
08/23/2014,25311554,2286318,70,70000000
08/20/2014,21940568,2007032,60,60000000
08/16/2014,24143578,2212894,50,50000000
08/13/2014,21209742,1954367,40,40000000
08/09/2014,28536954,2523068,90,90000000
08/06/2014,25472092,2249633,80,80000000
08/02/2014,27373050,2474744,70,70000000
07/30/2014,22939004,2059604,60,60000000
07/26/2014,24930534,2263455,50,50000000
07/23/2014,21826228,1981626,40,40000000
07/19/2014,26676210,2366938,60,60000000
07/16/2014,23621466,2104353,50,50000000
07/12/2014,25471908,2278182,40,40000000
07/09/2014,35144148,2764427,122,122000000
07/05/2014,33479402,2769116,101,101000000
07/02/2014,28407434,2385248,90,90000000
06/28/2014,28651984,2466072,80,80000000
06/25/2014,25561176,2200713,70,70000000
06/21/2014,27010302,2359404,60,60000000
06/18/2014,23884472,2092699,50,50000000
06/14/2014,27136016,2365631,40,40000000
06/11/2014,65287158,4211396,257,257000000
06/07/2014,57251954,3933610,221,221000000
06/04/2014,46708576,3292970,192,192000000
05/31/2014,43305488,3258064,173,173000000
05/28/2014,35176564,2680848,152,152000000
05/24/2014,35858982,2863167,132,132000000
05/21/2014,30025930,2454366,114,114000000
05/17/2014,31308206,2641534,100,100000000
05/14/2014,25483670,2204662,90,90000000
05/10/2014,27631562,2422005,80,80000000
05/07/2014,24688484,2193257,70,70000000
05/03/2014,26942550,2423560,60,60000000
04/30/2014,23111638,2112199,50,50000000
04/26/2014,26016988,2331166,40,40000000
04/23/2014,36747102,2823277,148.8,148800000
04/19/2014,37392468,2977902,128,128000000
04/16/2014,33095206,2650126,110,110000000
04/12/2014,31987612,2692923,94,94000000
04/09/2014,28003954,2403479,80,80000000
04/05/2014,29883772,2600808,70,70000000
04/02/2014,26453016,2316356,60,60000000
03/29/2014,27573672,2418931,50,50000000
03/26/2014,24247664,2140502,40,40000000
03/22/2014,32064856,2713675,96,96000000
03/19/2014,29630474,2521287,80,80000000
03/15/2014,30542376,2672628,70,70000000
03/12/2014,26464444,2328365,60,60000000
03/08/2014,28814004,2560782,50,50000000
03/05/2014,25588276,2289628,40,40000000
03/01/2014,30747816,2731133,60,60000000
02/26/2014,26006844,2311668,50,50000000
02/22/2014,28078212,2474524,40,40000000
02/19/2014,183031022,9725951,425,425000000
02/15/2014,84502534,5371280,330,330000000
02/12/2014,67249908,4231343,284,284000000
02/08/2014,61665430,4289462,247,247000000
02/05/2014,49510642,3513518,215,215000000
02/01/2014,49062416,3652635,194,194000000
01/29/2014,38257408,2849278,171,171000000
01/25/2014,39396676,3024755,152,152000000
01/22/2014,32714630,2550358,131,131000000
01/18/2014,35703424,2808955,113,113000000
01/15/2014,29454450,2379925,93,93000000
01/11/2014,29616924,2471203,80,80000000
01/08/2014,25761674,2171438,70,70000000
01/04/2014,27745090,2424741,60,60000000
01/01/2014,25121630,2142589,50,50000000
