Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/30/2009,16230044,0,20,20000000
12/26/2009,26112288,0,122,122000000
12/23/2009,26657449,0,106,106000000
12/19/2009,22431024,0,92,92000000
12/16/2009,19200121,0,77,77000000
12/12/2009,19578620,0,65,65000000
12/09/2009,16869821,0,52,52000000
12/05/2009,18158963,0,41,41000000
12/02/2009,16058360,0,30,30000000
11/28/2009,16133053,0,25,25000000
11/25/2009,16094222,0,20,20000000
11/21/2009,18202269,0,32,32000000
11/18/2009,16042944,0,25,25000000
11/14/2009,17946102,0,20,20000000
11/11/2009,21862168,0,96,96000000
11/07/2009,22119315,0,80,80000000
11/04/2009,19495176,0,66,66000000
10/31/2009,19486186,0,53,53000000
10/28/2009,16716952,0,41,41000000
10/24/2009,17956376,0,31,31000000
10/21/2009,15840096,0,25,25000000
10/17/2009,17363282,0,20,20000000
10/14/2009,16703747,0,30,30000000
10/10/2009,18317590,0,25,25000000
10/07/2009,17114067,0,20,20000000
10/03/2009,39963328,0,189,189000000
09/30/2009,33098307,0,170,170000000
09/26/2009,31615045,0,150,150000000
09/23/2009,27620531,0,129,129000000
09/19/2009,27582291,0,111,111000000
09/16/2009,22566189,0,95,95000000
09/12/2009,22564477,0,81,81000000
09/09/2009,20030771,0,67,67000000
09/05/2009,21172752,0,57,57000000
09/02/2009,18365653,0,45,45000000
08/29/2009,19066400,0,33,33000000
08/26/2009,16789639,0,25,25000000
08/22/2009,19470192,0,20,20000000
08/19/2009,65842626,0,250,250000000
08/15/2009,49512433,0,213,213000000
08/12/2009,37400849,0,186,186000000
08/08/2009,33971273,0,161,161000000
08/05/2009,28870823,0,138,138000000
08/01/2009,28035388,0,120,120000000
07/29/2009,24019690,0,102,102000000
07/25/2009,21884038,0,88,88000000
07/22/2009,19003928,0,74,74000000
07/18/2009,19866231,0,61,61000000
07/15/2009,17123492,0,49,49000000
07/11/2009,17975687,0,38,38000000
07/08/2009,15892607,0,30,30000000
07/04/2009,16672381,0,25,25000000
07/01/2009,15246947,0,20,20000000
06/27/2009,17155055,0,25,25000000
06/24/2009,15565535,0,20,20000000
06/20/2009,22290089,0,86,86000000
06/17/2009,19681628,0,72,72000000
06/13/2009,20119695,0,59,59000000
06/10/2009,17909899,0,45,45000000
06/06/2009,18699033,0,34,34000000
06/03/2009,16746673,0,25,25000000
05/30/2009,18302663,0,20,20000000
05/27/2009,53110338,0,232,232000000
05/23/2009,41368451,0,192,192000000
05/20/2009,33752417,0,170,170000000
05/16/2009,32258366,0,150,150000000
05/13/2009,27475729,0,129,129000000
05/09/2009,27269909,0,109,109000000
05/06/2009,22033568,0,92,92000000
05/02/2009,21834057,0,77,77000000
04/29/2009,18242374,0,65,65000000
04/25/2009,19457243,0,53,53000000
04/22/2009,17361904,0,42,42000000
04/18/2009,18525182,0,31,31000000
04/15/2009,16367063,0,25,25000000
04/11/2009,19019396,0,20,20000000
04/08/2009,30773727,0,144,144000000
04/04/2009,30444363,0,126,126000000
04/01/2009,26114210,0,109,109000000
03/28/2009,24471201,0,94,94000000
03/25/2009,20989951,0,81,81000000
03/21/2009,21945161,0,70,70000000
03/18/2009,18904687,0,55,55000000
03/14/2009,20610205,0,44,44000000
03/11/2009,17480709,0,32,32000000
03/07/2009,19385578,0,25,25000000
03/04/2009,17710870,0,20,20000000
02/28/2009,40585812,0,173,173000000
02/25/2009,33004838,0,150,150000000
02/21/2009,31083510,0,125,125000000
02/18/2009,26751148,0,105,105000000
02/14/2009,26121650,0,92,92000000
02/11/2009,21320594,0,78,78000000
02/07/2009,22503384,0,65,65000000
02/04/2009,19218723,0,52,52000000
01/31/2009,20644948,0,42,42000000
01/28/2009,16708093,0,30,30000000
01/24/2009,19278592,0,25,25000000
01/21/2009,17190146,0,20,20000000
01/17/2009,38330424,0,165,165000000
01/14/2009,33674948,0,146,146000000
01/10/2009,32008934,0,120,120000000
01/07/2009,29312505,0,105,105000000
01/03/2009,20359193,0,90,90000000
