Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/29/2004,11359177,0,13,13000000
12/25/2004,12320437,0,10,10000000
12/22/2004,13680483,0,30,30000000
12/18/2004,13986752,0,23,23000000
12/15/2004,11718337,0,14,14000000
12/11/2004,13610711,0,10,10000000
12/08/2004,40943873,0,171,171000000
12/04/2004,34831278,0,145,145000000
12/01/2004,28462523,0,127,127000000
11/27/2004,23228915,0,110,110000000
11/24/2004,24095321,0,95,95000000
11/20/2004,19557182,0,83,83000000
11/17/2004,16554479,0,72,72000000
11/13/2004,16523227,0,63,63000000
11/10/2004,14187049,0,52,52000000
11/06/2004,14852616,0,44,44000000
11/03/2004,12349232,0,35,35000000
10/30/2004,13539488,0,28,28000000
10/27/2004,11497921,0,20,20000000
10/23/2004,12615047,0,13,13000000
10/20/2004,10763447,0,10,10000000
10/16/2004,12916600,0,15,15000000
10/13/2004,11796809,0,10,10000000
10/09/2004,63032953,0,215,215000000
10/06/2004,43361601,0,177,177000000
10/02/2004,37384497,0,151,151000000
09/29/2004,29896354,0,128,128000000
09/25/2004,27476141,0,110,110000000
09/22/2004,21145819,0,95,95000000
09/18/2004,19493522,0,84,84000000
09/15/2004,16587844,0,72,72000000
09/11/2004,16635119,0,64,64000000
09/08/2004,13654144,0,54,54000000
09/04/2004,15231116,0,45,45000000
09/01/2004,12652438,0,36,36000000
08/28/2004,13548423,0,28,28000000
08/25/2004,11582226,0,21,21000000
08/21/2004,12422337,0,14,14000000
08/18/2004,11028375,0,10,10000000
08/14/2004,23951690,0,97,97000000
08/11/2004,18835239,0,84,84000000
08/07/2004,18681545,0,76,76000000
08/04/2004,15639279,0,63,63000000
07/31/2004,16147018,0,54,54000000
07/28/2004,12950821,0,44,44000000
07/24/2004,13580987,0,36,36000000
07/21/2004,11582105,0,27,27000000
07/17/2004,12613814,0,21,21000000
07/14/2004,10530161,0,13,13000000
07/10/2004,11620775,0,10,10000000
07/07/2004,11070590,0,21,21000000
07/03/2004,12992696,0,13,13000000
06/30/2004,10770005,0,10,10000000
06/26/2004,16661790,0,67,67000000
06/23/2004,14138812,0,55,55000000
06/19/2004,14958705,0,47,47000000
06/16/2004,12649299,0,38,38000000
06/12/2004,13550652,0,30,30000000
06/09/2004,11580793,0,21,21000000
06/05/2004,12783328,0,14,14000000
06/02/2004,10678573,0,10,10000000
05/29/2004,16826621,0,51,51000000
05/26/2004,14006896,0,41,41000000
05/22/2004,14893992,0,33,33000000
05/19/2004,12691270,0,24,24000000
05/15/2004,13491136,0,15,15000000
05/12/2004,12319414,0,10,10000000
05/08/2004,63179604,0,212,212000000
05/05/2004,44047942,0,170,170000000
05/01/2004,35100877,0,145,145000000
04/28/2004,27648713,0,120,120000000
04/24/2004,25697832,0,103,103000000
04/21/2004,20230405,0,90,90000000
04/17/2004,17057381,0,75,75000000
04/14/2004,14400037,0,65,65000000
04/10/2004,15487351,0,57,57000000
04/07/2004,12832161,0,47,47000000
04/03/2004,13886966,0,39,39000000
03/31/2004,11690087,0,31,31000000
03/27/2004,12583802,0,25,25000000
03/24/2004,10561323,0,18,18000000
03/20/2004,11534390,0,12,12000000
03/17/2004,10323150,0,10,10000000
03/13/2004,20680962,0,90,90000000
03/10/2004,16751327,0,79,79000000
03/06/2004,17488092,0,70,70000000
03/03/2004,14895330,0,61,61000000
02/28/2004,15345737,0,52,52000000
02/25/2004,12903650,0,43,43000000
02/21/2004,13970427,0,35,35000000
02/18/2004,11623342,0,26,26000000
02/14/2004,12911556,0,20,20000000
02/11/2004,10765848,0,13,13000000
02/07/2004,12350207,0,10,10000000
02/04/2004,17795366,0,85,85000000
01/31/2004,18353679,0,74,74000000
01/28/2004,14377550,0,64,64000000
01/24/2004,16319807,0,55,55000000
01/21/2004,13807439,0,46,46000000
01/17/2004,14585882,0,37,37000000
01/14/2004,12549931,0,29,29000000
01/10/2004,13141066,0,21,21000000
01/07/2004,11131869,0,13,13000000
01/03/2004,12714617,0,10,10000000
