Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/30/2015,81857312,5760737,300,300000000
12/26/2015,52097324,4172123,255,255000000
12/23/2015,54319258,4243966,227,227000000
12/19/2015,46794394,3926457,202,202000000
12/16/2015,36957036,3191783,180,180000000
12/12/2015,36662540,3316183,164,164000000
12/09/2015,32622162,2923265,145,145000000
12/05/2015,32694022,3077783,127,127000000
12/02/2015,28787014,2683235,110,110000000
11/28/2015,26971156,2690519,100,100000000
11/25/2015,26087034,2602355,90,90000000
11/21/2015,25097524,2603070,80,80000000
11/18/2015,22075844,2298678,70,70000000
11/14/2015,24231802,2585112,60,60000000
11/11/2015,20825416,2213546,50,50000000
11/07/2015,23900282,2547374,40,40000000
11/04/2015,32324762,3049370,142,142000000
10/31/2015,32751414,3177738,127,127000000
10/28/2015,27942176,2684132,110,110000000
10/24/2015,30270326,2955762,100,100000000
10/21/2015,24895028,2496709,90,90000000
10/17/2015,26255326,2700970,80,80000000
10/14/2015,23219104,2380290,70,70000000
10/10/2015,24599042,2562917,60,60000000
10/07/2015,21151912,2159819,50,50000000
10/03/2015,24893024,2568995,40,40000000
09/30/2015,99784900,6731485,310.5,310500000
09/26/2015,64156118,4929092,267,267000000
09/23/2015,57254160,4371191,235,235000000
09/19/2015,50682002,4162664,208,208000000
09/16/2015,40527626,3528968,185,185000000
09/12/2015,38171638,3490075,167,167000000
09/09/2015,32494668,2971895,149,149000000
09/05/2015,34564486,3277294,133,133000000
09/02/2015,30738428,2871876,120,120000000
08/29/2015,31535718,2999555,110,110000000
08/26/2015,28627382,2667633,100,100000000
08/22/2015,27132588,2702129,90,90000000
08/19/2015,23742834,2346269,80,80000000
08/15/2015,25442820,2575041,70,70000000
08/12/2015,22232156,2229539,60,60000000
08/08/2015,23689534,2450246,50,50000000
08/05/2015,21058200,2165601,40,40000000
08/01/2015,31901522,3086133,110,110000000
07/29/2015,28070122,2611097,100,100000000
07/25/2015,26358258,2622866,90,90000000
07/22/2015,22467226,2267405,80,80000000
07/18/2015,24064320,2482183,70,70000000
07/15/2015,21243282,2186623,60,60000000
07/11/2015,23136218,2407677,50,50000000
07/08/2015,20566096,2133924,40,40000000
07/04/2015,24472568,2519122,70,70000000
07/01/2015,21975838,2267410,60,60000000
06/27/2015,23500392,2446148,50,50000000
06/24/2015,20860316,2140487,40,40000000
06/20/2015,26742492,2675807,80,80000000
06/17/2015,23542344,2356631,70,70000000
06/13/2015,25204170,2597997,60,60000000
06/10/2015,22393990,2290099,50,50000000
06/06/2015,25094816,2559181,40,40000000
06/03/2015,39856036,3500411,188,188000000
05/30/2015,39170600,3582846,171,171000000
05/27/2015,33084166,3000390,154,154000000
05/23/2015,35166946,3280823,138,138000000
05/20/2015,30597828,2863077,121,121000000
05/16/2015,31492778,3052200,110,110000000
05/13/2015,27903836,2678405,100,100000000
05/09/2015,27583482,2778726,90,90000000
05/06/2015,24320232,2430169,80,80000000
05/02/2015,26577550,2719893,70,70000000
04/29/2015,22565040,2299011,60,60000000
04/25/2015,24644804,2541675,50,50000000
04/22/2015,21680554,2221417,40,40000000
04/18/2015,25253474,2565681,50,50000000
04/15/2015,22473488,2282400,40,40000000
04/11/2015,28787694,2798883,80,80000000
04/08/2015,25547016,2500393,70,70000000
04/04/2015,28025420,2718966,60,60000000
04/01/2015,24503400,2433712,50,50000000
03/28/2015,25740984,2584432,40,40000000
03/25/2015,22958302,1202876,40,40000000
03/21/2015,26736720,2694618,50,50000000
03/18/2015,24374382,2436480,40,40000000
03/14/2015,39203604,3527630,137,137000000
03/11/2015,34576508,3102403,119,119000000
03/07/2015,35464016,3300377,100,100000000
03/04/2015,30138652,2864060,90,90000000
02/28/2015,29968068,2942250,80,80000000
02/25/2015,26701900,2610165,70,70000000
02/21/2015,27764748,2759797,60,60000000
02/18/2015,24750436,2438531,50,50000000
02/14/2015,29011614,2803257,40,40000000
02/11/2015,379050492,20556575,564.1,564100000
02/07/2015,146267368,9096390,394.9,394900000
02/04/2015,96760010,6450926,317,317000000
01/31/2015,73285296,5296084,289,289000000
01/28/2015,57972284,4207341,261,261000000
01/24/2015,55412660,4200267,230,230000000
01/21/2015,47474024,3598382,208,208000000
01/17/2015,42990736,3609281,194,194000000
01/14/2015,36241790,3068252,176,176000000
01/10/2015,36403186,3167408,162,162000000
01/07/2015,32096042,2774416,146,146000000
01/03/2015,32024614,2943548,131,131000000
