Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
03/15/2017,29851224,2995984,123,123000000
03/11/2017,32550214,3344208,104,104000000
03/08/2017,26936478,2847616,85,85000000
03/04/2017,28868654,3154145,68,68000000
03/01/2017,25012404,2648030,53,53000000
02/25/2017,27777408,2910938,40,40000000
02/22/2017,149905498,10185004,435.3,435300000
02/18/2017,83331392,6274039,349,349000000
02/15/2017,67509258,5153428,310,310000000
02/11/2017,56292320,4652739,285,285000000
02/08/2017,49916734,4066235,255,255000000
02/04/2017,49276582,4201107,229,229000000
02/01/2017,41339944,3529639,206,206000000
01/28/2017,37642712,3484916,187,187000000
01/25/2017,31178460,2962730,170,170000000
01/21/2017,33115134,3238280,153,153000000
01/18/2017,28308190,2800057,135,135000000
01/14/2017,31820822,3175470,121,121000000
01/11/2017,26361692,2645418,106,106000000
01/07/2017,26368706,2702423,94,94000000
01/04/2017,23867632,2473928,80,80000000
