Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/30/1998,8823368.00,0.00,35.00,35000000
12/26/1998,8256426.00,0.00,30.00,30000000
12/23/1998,8092329.00,0.00,26.00,26000000
12/19/1998,8351633.00,0.00,23.00,23000000
12/16/1998,7039503.00,0.00,18.00,18000000
12/12/1998,7814176.00,0.00,16.00,16000000
12/09/1998,6721399.00,0.00,14.00,14000000
12/05/1998,7615053.00,0.00,12.00,12000000
12/02/1998,6609741.00,0.00,10.00,10000000
11/28/1998,8899079.00,0.00,32.00,32000000
11/25/1998,8359112.00,0.00,28.00,28000000
11/21/1998,8764402.00,0.00,24.00,24000000
11/18/1998,7566242.00,0.00,20.00,20000000
11/14/1998,8289110.00,0.00,16.00,16000000
11/11/1998,6909549.00,0.00,14.00,14000000
11/07/1998,7961543.00,0.00,12.00,12000000
11/04/1998,6917311.00,0.00,10.00,10000000
10/31/1998,11717759.00,0.00,45.00,45000000
10/28/1998,9940196.00,0.00,40.00,40000000
10/24/1998,9959954.00,0.00,34.00,34000000
10/21/1998,8412139.00,0.00,29.00,29000000
10/17/1998,9221381.00,0.00,25.00,25000000
10/14/1998,7800856.00,0.00,20.00,20000000
10/10/1998,8507048.00,0.00,16.00,16000000
10/07/1998,7428276.00,0.00,14.00,14000000
10/03/1998,8429487.00,0.00,12.00,12000000
09/30/1998,7285309.00,0.00,10.00,10000000
09/26/1998,12671213.00,0.00,49.00,49000000
09/23/1998,10808216.00,0.00,43.00,43000000
09/19/1998,10946062.00,0.00,38.00,38000000
09/16/1998,9499322.00,0.00,32.00,32000000
09/12/1998,9832220.00,0.00,27.00,27000000
09/09/1998,8479801.00,0.00,23.00,23000000
09/05/1998,9587273.00,0.00,18.00,18000000
09/02/1998,8198291.00,0.00,14.00,14000000
08/29/1998,9108702.00,0.00,12.00,12000000
08/26/1998,8239264.00,0.00,10.00,10000000
08/22/1998,13675013.00,0.00,43.00,43000000
08/19/1998,11595849.00,0.00,35.00,35000000
08/15/1998,12397921.00,0.00,30.00,30000000
08/12/1998,10648205.00,0.00,22.00,22000000
08/08/1998,11012912.00,0.00,17.00,17000000
08/05/1998,10065520.00,0.00,12.00,12000000
08/01/1998,12778842.00,0.00,10.00,10000000
07/29/1998,210850582.00,0.00,250.00,250000000
07/25/1998,100306918.00,0.00,180.00,180000000
07/22/1998,59979949.00,0.00,125.00,125000000
07/18/1998,32529149.00,0.00,95.00,95000000
07/15/1998,20625320.00,0.00,80.00,80000000
07/11/1998,16347727.00,0.00,69.00,69000000
07/08/1998,13843758.00,0.00,60.00,60000000
07/04/1998,12583535.00,0.00,54.00,54000000
07/01/1998,10715561.00,0.00,48.00,48000000
06/27/1998,10846115.00,0.00,42.00,42000000
06/24/1998,8985832.00,0.00,36.00,36000000
06/20/1998,9686833.00,0.00,32.00,32000000
06/17/1998,8219689.00,0.00,28.00,28000000
06/13/1998,8764267.00,0.00,24.00,24000000
06/10/1998,7474819.00,0.00,19.00,19000000
06/06/1998,8246564.00,0.00,16.00,16000000
06/03/1998,7414854.00,0.00,14.00,14000000
05/30/1998,8078978.00,0.00,12.00,12000000
05/27/1998,6933812.00,0.00,10.00,10000000
05/23/1998,9192941.00,0.00,10.00,10000000
05/20/1998,138549398.00,0.00,175.00,175000000
05/16/1998,61984620.00,0.00,113.00,113000000
05/13/1998,32046086.00,0.00,85.00,85000000
05/09/1998,22360263.00,0.00,70.00,70000000
05/06/1998,14567820.00,0.00,58.00,58000000
05/02/1998,14000936.00,0.00,50.00,50000000
04/29/1998,10543200.00,0.00,44.00,44000000
04/25/1998,10076622.00,0.00,39.00,39000000
04/22/1998,8382167.00,0.00,33.00,33000000
04/18/1998,8519890.00,0.00,29.00,29000000
04/15/1998,7209218.00,0.00,25.00,25000000
04/11/1998,8021762.00,0.00,21.00,21000000
04/08/1998,6562674.00,0.00,18.00,18000000
04/04/1998,7613970.00,0.00,16.00,16000000
04/01/1998,6295816.00,0.00,14.00,14000000
03/28/1998,7158322.00,0.00,12.00,12000000
03/25/1998,6113886.00,0.00,10.00,10000000
03/21/1998,9121170.00,0.00,28.00,28000000
03/18/1998,7717612.00,0.00,23.00,23000000
03/14/1998,8390526.00,0.00,19.00,19000000
03/11/1998,6854234.00,0.00,16.00,16000000
03/07/1998,8045505.00,0.00,14.00,14000000
03/04/1998,6847576.00,0.00,12.00,12000000
02/28/1998,8074956.00,0.00,10.00,10000000
02/25/1998,15260981.00,0.00,55.00,55000000
02/21/1998,13963082.00,0.00,48.00,48000000
02/18/1998,10745471.00,0.00,40.00,40000000
02/14/1998,10601927.00,0.00,35.00,35000000
02/11/1998,8638951.00,0.00,30.00,30000000
02/07/1998,8938844.00,0.00,26.00,26000000
02/04/1998,7362067.00,0.00,21.00,21000000
01/31/1998,8046572.00,0.00,18.00,18000000
01/28/1998,6537272.00,0.00,16.00,16000000
01/24/1998,7465361.00,0.00,14.00,14000000
01/21/1998,6249225.00,0.00,12.00,12000000
01/17/1998,7193526.00,0.00,10.00,10000000
01/14/1998,6138176.00,0.00,10.00,10000000
01/10/1998,7496539.00,0.00,10.00,10000000
01/07/1998,8075392.00,0.00,25.00,25000000
01/03/1998,8460240.00,0.00,20.00,20000000
