Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/28/2013,26298198,2291901,40,40000000
12/25/2013,27289666,2180839,74,74000000
12/21/2013,28986882,2454016,60,60000000
12/18/2013,33401446,2627295,50,50000000
12/14/2013,35027210,2821941,40,40000000
12/11/2013,36818902,2875506,122,122000000
12/07/2013,35889328,2878427,100,100000000
12/04/2013,29444180,2480247,81,81000000
11/30/2013,28693078,2511683,70,70000000
11/27/2013,28182982,2384200,60,60000000
11/23/2013,29182882,2478792,50,50000000
11/20/2013,25934724,2223330,40,40000000
11/16/2013,40247988,3124671,130,130000000
11/13/2013,34678780,2714586,110,110000000
11/09/2013,33853702,2788199,87,87000000
11/06/2013,29779240,2484306,70,70000000
11/02/2013,32429546,2736941,60,60000000
10/30/2013,27830994,2325265,50,50000000
10/26/2013,31802548,2632295,40,40000000
10/23/2013,58508688,3808191,216,216000000
10/19/2013,52089906,3629488,186,186000000
10/16/2013,45357682,3220735,156,156000000
10/12/2013,44775232,3330984,133,133000000
10/09/2013,39054982,2951675,108,108000000
10/05/2013,36749138,2937071,86,86000000
10/02/2013,31931180,2609080,70,70000000
09/28/2013,33923886,2782901,60,60000000
09/25/2013,30244738,2485531,50,50000000
09/21/2013,32296040,2655854,40,40000000
09/18/2013,182773492,9376770,400,400000000
09/14/2013,101377126,5975893,317,317000000
09/11/2013,73685004,4582377,245,245000000
09/07/2013,66736054,4406037,203,203000000
09/04/2013,50164254,3504101,169,169000000
08/31/2013,52146876,3747894,142,142000000
08/28/2013,43157770,3122512,116,116000000
08/24/2013,40503768,3133849,92,92000000
08/21/2013,34274628,2708552,70,70000000
08/17/2013,36149700,2909404,60,60000000
08/14/2013,31379796,2530104,50,50000000
08/10/2013,32446598,2637288,40,40000000
08/07/2013,271009310,13395129,425,425000000
08/03/2013,118181040,6832065,300,300000000
07/31/2013,82014782,4815476,235,235000000
07/27/2013,63365314,4102876,196,196000000
07/24/2013,49399020,3319233,166,166000000
07/20/2013,47745826,3386585,141,141000000
07/17/2013,39692874,2877491,116,116000000
07/13/2013,37311468,2903099,94,94000000
07/10/2013,31435340,2489244,80,80000000
07/06/2013,31729376,2647891,70,70000000
07/03/2013,29854872,2471720,60,60000000
06/29/2013,31805792,2644358,50,50000000
06/26/2013,27700220,2291895,40,40000000
06/22/2013,45481288,3308904,127,127000000
06/19/2013,39208848,2874204,105,105000000
06/15/2013,38313086,2978420,85,85000000
06/12/2013,32862694,2574325,70,70000000
06/08/2013,36562116,2887952,60,60000000
06/05/2013,31356400,2507303,50,50000000
06/01/2013,34468992,2795764,40,40000000
05/29/2013,29404724,2373539,40,40000000
05/25/2013,36490320,2875268,50,50000000
05/22/2013,32918966,2572437,40,40000000
05/18/2013,464536548,21597123,590.5,590500000
05/15/2013,180270170,9545738,350,350000000
05/11/2013,93628856,5726936,270,270000000
05/08/2013,77911916,4869431,222,222000000
05/04/2013,64234610,4342782,191,191000000
05/01/2013,53202316,3676736,165,165000000
04/27/2013,51345324,3678090,140,140000000
04/24/2013,44278652,3210194,116,116000000
04/20/2013,40583804,3153258,95,95000000
04/17/2013,35341564,2744362,80,80000000
04/13/2013,38358690,3034194,70,70000000
04/10/2013,36179774,2645424,60,60000000
04/06/2013,31112426,2938495,50,50000000
04/03/2013,26346048,2552624,40,40000000
03/30/2013,31096232,2899175,50,50000000
03/27/2013,25500852,2411446,40,40000000
03/23/2013,163192114,9764567,320,320000000
03/20/2013,90874110,5888307,260,260000000
03/16/2013,74391216,5184643,216,216000000
03/13/2013,56579474,4144281,183,183000000
03/09/2013,50796970,3951156,150,150000000
03/06/2013,43892342,3463420,123,123000000
03/02/2013,43763596,3618337,103,103000000
02/27/2013,32647780,2824897,90,90000000
02/23/2013,33176522,2948317,80,80000000
02/20/2013,28879862,2596912,70,70000000
02/16/2013,30692128,2798123,60,60000000
02/13/2013,26710426,2448201,50,50000000
02/09/2013,28398870,2601829,40,40000000
02/06/2013,71543588,4784631,208,208000000
02/02/2013,57644328,4259474,176,176000000
01/30/2013,45706066,3433780,151,151000000
01/26/2013,41623138,3377508,130,130000000
01/23/2013,35693444,2962963,110,110000000
01/19/2013,38918284,3249467,100,100000000
01/16/2013,28807756,2575177,90,90000000
01/12/2013,29917538,2720741,80,80000000
01/09/2013,26614256,2451701,70,70000000
01/05/2013,28097510,2630800,60,60000000
01/02/2013,24144842,2268796,50,50000000
