Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/31/2016,32118732,3258262,70,70000000
12/28/2016,22553992,2370877,60,60000000
12/24/2016,30022848,3015772,50,50000000
12/21/2016,22726668,2373591,40,40000000
12/17/2016,32263346,3126813,121.6,121600000
12/14/2016,29458404,2804505,100,100000000
12/10/2016,28258756,2860048,85,85000000
12/07/2016,24610904,2499693,67,67000000
12/03/2016,26782142,2793293,54,54000000
11/30/2016,23145668,2351607,40,40000000
11/26/2016,94533644,6840650,420.9,420900000
11/23/2016,74294276,5500368,359,359000000
11/19/2016,60763296,4818669,320,320000000
11/16/2016,50086188,4017932,293,293000000
11/12/2016,46889864,4013756,258,258000000
11/09/2016,41636032,3502988,236,236000000
11/05/2016,42956768,3802515,217,217000000
11/02/2016,35891196,3228429,198,198000000
10/29/2016,35303704,3310695,180,180000000
10/26/2016,31304674,2900486,164,164000000
10/22/2016,33173498,3173518,151,151000000
10/19/2016,29294512,2770496,136,136000000
10/15/2016,31370892,3066567,122,122000000
10/12/2016,27079104,2658174,107,107000000
10/08/2016,27361708,2805904,91,91000000
10/05/2016,24639824,2553941,80,80000000
10/01/2016,27058640,2883956,70,70000000
09/28/2016,23116626,2416779,60,60000000
09/24/2016,25267522,2652582,50,50000000
09/21/2016,22462360,2311038,40,40000000
09/17/2016,44231724,3971731,244,244000000
09/14/2016,39590258,3493659,222,222000000
09/10/2016,40342579,3724955,205,205000000
09/07/2016,33546728,3121924,186,186000000
09/03/2016,37152208,3559387,170,170000000
08/31/2016,32026026,2993551,154,154000000
08/27/2016,34481088,3314556,142,142000000
08/24/2016,30629692,2907726,127,127000000
08/20/2016,32849886,3233267,110,110000000
08/17/2016,27911078,2770792,94,94000000
08/13/2016,30029386,3070202,82,82000000
08/10/2016,26374638,2665046,67,67000000
08/06/2016,29037382,2976605,52,52000000
08/03/2016,27186128,2704867,40,40000000
07/29/2016,136722250,9400694,487,487000000
07/26/2016,100687710,7061377,422,422000000
07/23/2016,67447786,5286268,390,390000000
07/20/2016,58703720,4648849,361,361000000
07/16/2016,57802204,4822969,333,333000000
07/13/2016,51529112,4244942,311,311000000
07/09/2016,56912314,4869927,288,288000000
07/06/2016,51580224,4368361,257,257000000
07/02/2016,51203844,4580648,243,243000000
06/29/2016,39756020,3581864,222,222000000
06/25/2016,38946942,3723221,203,203000000
06/22/2016,32290936,3133890,184,184000000
06/18/2016,33986378,3378526,169,169000000
06/15/2016,30117464,2980922,153,153000000
06/11/2016,31869688,3231680,141,141000000
06/08/2016,28791514,2898268,123,123000000
06/04/2016,31161584,3228115,110,110000000
06/01/2016,26769328,2742774,100,100000000
05/28/2016,27774836,2970047,90,90000000
05/25/2016,24610048,2618702,80,80000000
05/21/2016,27239338,2925160,70,70000000
05/18/2016,24260628,2599084,60,60000000
05/14/2016,26710594,2848809,50,50000000
05/11/2016,24572226,2530420,40,40000000
05/07/2016,147961958,10000844,429,429000000
05/04/2016,91372322,6543607,361,361000000
04/30/2016,61976652,5059272,314,314000000
04/27/2016,49148452,4091488,282,282000000
04/23/2016,47407264,4098868,251,251000000
04/20/2016,43028710,3680740,227,227000000
04/16/2016,42463458,3835937,205,205000000
04/13/2016,35666504,3286958,184,184000000
04/09/2016,36083820,3454976,168,168000000
04/06/2016,32345444,3122114,148,148000000
04/02/2016,34201448,3437170,135,135000000
03/30/2016,29665490,2952127,116,116000000
03/26/2016,32052008,3183362,101,101000000
03/23/2016,26728382,2751024,90,90000000
03/19/2016,28461130,3012116,80,80000000
03/16/2016,25639626,2702203,70,70000000
03/12/2016,27640256,2979576,60,60000000
03/09/2016,24962442,2679607,50,50000000
03/05/2016,29205358,3110256,40,40000000
03/02/2016,51538444,4409707,291.4,291400000
02/27/2016,50206284,4502871,266,266000000
02/24/2016,45245596,4003501,236,236000000
02/20/2016,45731386,4171396,212,212000000
02/17/2016,37750784,3517675,189,189000000
02/13/2016,40079550,3832816,171,171000000
02/10/2016,36547620,3458539,157,157000000
02/06/2016,38882640,3840645,136,136000000
02/03/2016,35512044,3499156,112,112000000
01/30/2016,35939628,3692738,96,96000000
01/27/2016,32033346,3297846,75,75000000
01/23/2016,33437096,3480880,60,60000000
01/20/2016,35845424,3498218,50,50000000
01/16/2016,48484312,4555607,40,40000000
01/13/2016,1270206274,73128409,1.58,1580000000
01/09/2016,880642344,49356071,947.9,947900000
01/06/2016,352287260,20349888,528.5,528500000
01/02/2016,108257204,7547996,334,334000000
