Date,Powerball Sales,PowerPlay Sales,Jackpot(Millions),Jackpot
12/28/2002,12957198,0,10,10000000
12/25/2002,163352371,0,280,280000000
12/21/2002,92060133,0,215,215000000
12/18/2002,57359549,0,160,160000000
12/14/2002,39344907,0,125,125000000
12/11/2002,28067936,0,101,101000000
12/07/2002,20139213,0,90,90000000
12/04/2002,16316519,0,80,80000000
11/30/2002,13997561,0,69,69000000
11/27/2002,13591547,0,60,60000000
11/23/2002,13310465,0,52,52000000
11/20/2002,11100937,0,44,44000000
11/16/2002,11845762,0,37,37000000
11/13/2002,9924976,0,29,29000000
11/09/2002,10961475,0,23,23000000
11/06/2002,9102173,0,17,17000000
11/02/2002,10256540,0,12,12000000
10/30/2002,9216311,0,10,10000000
10/26/2002,18687272,0,84,84000000
10/23/2002,15496585,0,72,72000000
10/19/2002,15063128,0,60,60000000
10/16/2002,12519193,0,51,51000000
10/12/2002,12883818,0,44,44000000
10/09/2002,11119216,0,36,36000000
10/05/2002,10587045,0,27,27000000
10/02/2002,9209014,0,22,22000000
09/28/2002,9962972,0,18,18000000
09/25/2002,8575791,0,14,14000000
09/21/2002,9709325,0,12,12000000
09/18/2002,9144776,0,10,10000000
09/14/2002,31587307,0,100,100000000
09/11/2002,20414347,0,88,88000000
09/07/2002,19725295,0,80,80000000
09/04/2002,15607394,0,70,70000000
08/31/2002,15455980,0,63,63000000
08/28/2002,12421171,0,55,55000000
08/24/2002,12509416,0,49,49000000
08/21/2002,10793249,0,43,43000000
08/17/2002,11181957,0,38,38000000
08/14/2002,9694844,0,33,33000000
08/10/2002,10329896,0,28,28000000
08/07/2002,8944952,0,22,22000000
08/03/2002,9684770,0,17,17000000
07/31/2002,8192740,0,14,14000000
07/27/2002,9096908,0,12,12000000
07/24/2002,8023250,0,10,10000000
07/20/2002,12036060,0,41,41000000
07/17/2002,10153277,0,35,35000000
07/13/2002,10972635,0,31,31000000
07/10/2002,9493334,0,27,27000000
07/06/2002,9711932,0,22,22000000
07/03/2002,8819730,0,16,16000000
06/29/2002,10391229,0,14,14000000
06/26/2002,6689286,0,12,12000000
06/22/2002,7415382,0,10,10000000
06/19/2002,7001587,0,14,14000000
06/15/2002,7733459,0,12,12000000
06/12/2002,6829068,0,10,10000000
06/08/2002,9479504,0,31,31000000
06/05/2002,8271975,0,26,26000000
06/01/2002,8761872,0,21,21000000
05/29/2002,7284821,0,17,17000000
05/25/2002,8338655,0,14,14000000
05/22/2002,7386141,0,12,12000000
05/18/2002,8844819,0,10,10000000
05/15/2002,16692860,0,80,80000000
05/11/2002,15439843,0,70,70000000
05/08/2002,12865524,0,61,61000000
05/04/2002,12597964,0,54,54000000
05/01/2002,10727233,0,48,48000000
04/27/2002,10839433,0,43,43000000
04/24/2002,9145098,0,38,38000000
04/20/2002,9815131,0,32,32000000
04/17/2002,8710721,0,25,25000000
04/13/2002,9372464,0,21,21000000
04/10/2002,7596334,0,17,17000000
04/06/2002,8273694,0,14,14000000
04/03/2002,7154957,0,12,12000000
03/30/2002,8372596,0,10,10000000
03/27/2002,10319719,0,48,48000000
03/23/2002,10893489,0,43,43000000
03/20/2002,9136540,0,37,37000000
03/16/2002,9810248,0,31,31000000
03/13/2002,8433296,0,26,26000000
03/09/2002,8982077,0,22,22000000
03/06/2002,7826893,0,17,17000000
03/02/2002,8516644,0,14,14000000
02/27/2002,7278795,0,12,12000000
02/23/2002,8432510,0,10,10000000
02/20/2002,9381190,0,32,32000000
02/16/2002,10036319,0,27,27000000
02/13/2002,8429272,0,22,22000000
02/09/2002,9126621,0,18,18000000
02/06/2002,7737545,0,14,14000000
02/02/2002,8721797,0,12,12000000
01/30/2002,7945529,0,10,10000000
01/26/2002,25845966,0,95,95000000
01/23/2002,18341699,0,81,81000000
01/19/2002,16049476,0,71,71000000
01/16/2002,13130535,0,61,61000000
01/12/2002,12528568,0,55,55000000
01/09/2002,10322519,0,49,49000000
01/05/2002,10554870,0,44,44000000
01/02/2002,8365258,0,38,38000000
